iter	Passed	Remaining
0	48	48107
1	49	24670
2	50	16663
3	53	13300
4	57	11395
5	61	10209
6	65	9350
7	69	8578
8	73	8138
9	80	7982
110	92	8274111	97	8042112	102	7817
13	108	7620
14	113	7429
15	115	7104
16	121	6999
17	122	6655
18	124	6407
19	125	620	120	128	6002
21	130	522	122	134	523	123	142	5804
24	151	5903
25	154	5789
26	163	5905
27	166	5782
28	167	5622
29	171	5557
30	174	5461
31	177	5358
32	178	5216
33	179	5106
34	181	5017
35	182	4895
36	183	4786
37	187	4754
38	190	4689
39	191	4605
40	193	4529
41	196	4489
42	199	4447
43	201	4372
44	202	4293
45	203	4221
46	206	4183
47	207	4124
48	210	4084
49	214	4084
50	215	4013
51	218	3981
52	224	4008
53	225	3954
54	227	3915
55	229	3874
56	230	3821
57	233	3800
58	237	3783
59	240	3761
60	242	3738
61	245	3714
62	249	3710
63	251	3683
64	253	3652
65	255	3618
66	256	3575
67	257	3535
68	258	3493
69	260	3458
70	261	3424
71	263	3395
72	264	3360
73	266	3339
74	268	3313
75	269	3273
76	271	3249
77	272	3215
78	273	3190
79	274	81	291	3257
82	296	3272
83	299	3269
84	302	3257
85	304	3235
86	306	3212
87	306	3180
88	309	3169
89	312	3162
90	3189	307	3112
90	309	3089
91	311	3077
92	314	94	3293	315	95	3394	318	96	3395	320	97	3396	321	98	3397	325	99	3498	328	100	399	331	2101	346	3052
102	349	3042
103	352	3038
104	355	3031
105	358	3023
106	363	3029
107	366	3028
108	370	3029
109	375	3038
110	379	3038
111	386	3061
112	388	3048
113	391	3044
114	397	3057
115	399	3044
116	403	3042
117	405	3032
118	408	3020
119	411	3014
120	413	3003
121	416	2994
122	419	2993
123	423	2992
124	425	2979
125	427	2966
126	429	2953
127	431	2941
128	442	2986
129	444	2977
130	447	2970
131	450	2963
132	453	2954
133	456	2947
134	456	2926
135	460	2925
136	462	2916
137	464	2902
138	468	2900
139	470	2892
140	472	2878
141	473	2860
142	474	2842
143	476	2831
144	478	2821
145	480	2809
146	482	2799
147	484	2789
148	485	2774
149	503	2853
150	507	2852
151	510	2848
152	512	2836
153	515	2830
154	518	2824
155	519	2808
156	520	2794
157	523	2791
158	526	2785
159	529	2780
160	531	2769
161	532	2756
162	535	2750
163	537	2741
164	541	2742
165	543	2730
166	544	2717
167	545	2702
168	549	2704
169	553	2701
170	556	2698
171	564	2717
172	567	2714
173	572	2716
174	576	2715
175	579	2711
176	582	2709
177	589	2722
178	592	2715
179	596	2716
180	599	2713
181	608	2736
182	611	2731
183	615	2728
184	620	2732
185	626	2743
186	635	2761
187	639	2761
188	641	2752
189	643	2742
190	652	2762
191	659	2776
192	664	2780
193	669	2780
194	673	2779
195	689	2829
196	701	2861
197	706	2863
198	722	2909
199	737	2951
200	742	2951
201	746	2948
202	751	2949
